RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
106833	 Initiative Measure 1185 Concerns tax and fee increases imposed by state government	106834	Yes	17434	25444		State Measures
106833	 Initiative Measure 1185 Concerns tax and fee increases imposed by state government	106835	No	8010	25444		State Measures
106837	 Initiative Measure 1240 Concerns creation of a public charter school system	106838	Yes	0	0		State Measures
106837	 Initiative Measure 1240 Concerns creation of a public charter school system	106839	No	0	0		State Measures
106813	 Referendum Measure 74 Concerns marriage for same-sex couples	106814	Approved	0	0		State Measures
106813	 Referendum Measure 74 Concerns marriage for same-sex couples	106815	Rejected	0	0		State Measures
106465	 Initiative to the Legislature 502 Concerns marijuana	106466	Yes	0	0		State Measures
106465	 Initiative to the Legislature 502 Concerns marijuana	106467	No	0	0		State Measures
106705	 Engrossed Senate Joint Resolution 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit	106706	Approved	0	0		State Measures
106705	 Engrossed Senate Joint Resolution 8221 Concerns implementing the Commission on State Debt recommendations regarding Washington's debt limit	106707	Rejected	0	0		State Measures
106701	 Senate Joint Resolution 8223 Concerns investments by the University of Washington and Washington State University	106702	Approved	0	0		State Measures
106701	 Senate Joint Resolution 8223 Concerns investments by the University of Washington and Washington State University	106703	Rejected	0	0		State Measures
107001	 Advisory Vote 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans	107002	Repealed	0	0		State Advisory Votes
107001	 Advisory Vote 1 (Engrossed Senate Bill 6635) Concerns a B&O tax deduction for certain financial institutions' interest on residential loans	107003	Maintained	0	0		State Advisory Votes
107109	 Advisory Vote 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products	107110	Repealed	0	0		State Advisory Votes
107109	 Advisory Vote 2 (Substitute House Bill 2590) Concerns expiration of a tax on possession of petroleum products	107111	Maintained	0	0		State Advisory Votes
1	 President/Vice President	28017	Barack Obama / Joe Biden	0	0	Democratic Party Nominees	Federal
1	 President/Vice President	28036	Mitt Romney / Paul Ryan	0	0	Republican Party Nominees	Federal
1	 President/Vice President	27984	Gary Johnson / James P. Gray	0	0	Libertarian Party Nominees	Federal
1	 President/Vice President	27987	Virgil Goode / James N. Clymer	0	0	Constitution Party Nominees	Federal
1	 President/Vice President	27988	Jill Stein / Cheri Honkala	0	0	Green Party Nominees	Federal
